type,ID,nodeTimestamp,bsTimestamp,syncTimestamp,systemTime,accelX,accelY,accelZ,cannula
6,2,919643,68608553,85378517,1322676601,nan,nan,nan,32197
5,3,5324180,68608849,85379421,1322676601,-10240,2896,12632,nan
5,4,10509875,68609269,85420362,1322676601,-3676,-668,16336,nan
6,2,922358,68611269,85381233,1322676601,nan,nan,nan,32193
5,3,5326873,68611540,85382113,1322676601,-10256,2892,12632,nan
5,4,10512554,68611948,85423041,1322676601,-3688,-656,16380,nan
6,2,925074,68613985,85383948,1322676602,nan,nan,nan,32192
5,3,5329565,68614232,85384806,1322676602,-10268,2864,12656,nan
5,4,10515233,68614629,85425720,1322676602,-3692,-656,16364,nan
6,2,927790,68616700,85386664,1322676602,nan,nan,nan,32190
5,3,5332258,68616926,85387498,1322676602,-10268,2808,12648,nan
5,4,10517912,68617306,85428399,1322676602,-3684,-648,16304,nan
